User,Pwd,ContractNumber,EasyNumber,Iso_Country_Code,Name,Surname,Fonction,Civilite,FlagAdmin
CG402456,022014,991000704,00006872129345,SRB,LOADTEST6054,Team6054,Tester,Unk,ADMIN_NO
CG190358,022014,502979,00003502328352,ESP,LOADTEST6055,Team6055,Tester,Unk,ADMIN_YES
CG377137,022014,991000235,00000421521744,HRV,LOADTEST6056,Team6056,Tester,Unk,ADMIN_YES
CG132932,022014,554004,00000508758977,FRA,LOADTEST6057,Team6057,Tester,Unk,ADMIN_YES
CG333934,022014,922000004645,00008163672788,USA,LOADTEST6058,Team6058,Tester,Unk,ADMIN_YES
CG299386,022014,587537,00000132739046,FRA,LOADTEST6059,Team6059,Tester,Unk,ADMIN_NO
CG374161,022014,646515,00000453188560,ESP,LOADTEST6060,Team6060,Tester,Unk,ADMIN_YES
CG176115,022014,3054988,00000171800860,ITA,LOADTEST6061,Team6061,Tester,Unk,ADMIN_YES
CG365187,022014,840604946,00000368178422,LTU,LOADTEST6062,Team6062,Tester,Unk,ADMIN_YES
CG73118,022014,547545,00005071002546,GBR,LOADTEST6063,Team6063,Tester,Unk,ADMIN_YES
CG396684,022014,658211,00001332389831,PRT,LOADTEST6064,Team6064,Tester,Unk,ADMIN_YES
CG319634,022014,605730,00000053901558,FRA,LOADTEST6065,Team6065,Tester,Unk,ADMIN_NO
CG382137,022014,800012151000,00008839781318,NOR,LOADTEST6066,Team6066,Tester,Unk,ADMIN_YES
CG332347,022014,800007237005,00000434385076,DNK,LOADTEST6067,Team6067,Tester,Unk,ADMIN_YES
CG13285,022014,800003562009,00000184594135,DEU,LOADTEST6068,Team6068,Tester,Unk,ADMIN_YES
CG397873,022014,663228,00010105345142,FRA,LOADTEST6069,Team6069,Tester,Unk,ADMIN_YES
CG390586,022014,619624,00000079817737,FRA,LOADTEST6070,Team6070,Tester,Unk,ADMIN_NO
CG336599,022014,618770,00000065841968,FRA,LOADTEST6071,Team6071,Tester,Unk,ADMIN_YES
CG368911,022014,641504,00006445628152,FRA,LOADTEST6072,Team6072,Tester,Unk,ADMIN_YES
CG358443,022014,633963,00005955138865,ESP,LOADTEST6073,Team6073,Tester,Unk,ADMIN_YES
CG256103,022014,510130,00008042290556,FRA,LOADTEST6074,Team6074,Tester,Unk,ADMIN_NO
CG367175,022014,641587,00000455151438,ESP,LOADTEST6075,Team6075,Tester,Unk,ADMIN_YES
CG405565,022014,660100,00000135665557,FRA,LOADTEST6076,Team6076,Tester,Unk,ADMIN_NO
CG21194,022014,556409,00000456413283,ESP,LOADTEST6077,Team6077,Tester,Unk,ADMIN_YES
CG354413,022014,629584,00007965006761,FRA,LOADTEST6078,Team6078,Tester,Unk,ADMIN_YES
CG207672,022014,567130,00000080164137,FRA,LOADTEST6079,Team6079,Tester,Unk,ADMIN_YES
CG148549,022014,516567,00002288117546,ESP,LOADTEST6080,Team6080,Tester,Unk,ADMIN_YES
CG287992,022014,3060133,00000269772674,ITA,LOADTEST6081,Team6081,Tester,Unk,ADMIN_YES
CG377500,022014,3073062,00000267610636,ITA,LOADTEST6082,Team6082,Tester,Unk,ADMIN_YES
CG222905,022014,3053365,00000380738541,ITA,LOADTEST6083,Team6083,Tester,Unk,ADMIN_YES
CG361833,022014,634391,00015041493576,FRA,LOADTEST6084,Team6084,Tester,Unk,ADMIN_YES
CG200666,022014,511688,00006722636668,FRA,LOADTEST6085,Team6085,Tester,Unk,ADMIN_YES
CG66758,022014,554625,00000655080423,ESP,LOADTEST6086,Team6086,Tester,Unk,ADMIN_YES
CG395879,022014,660931,00000449856149,ESP,LOADTEST6087,Team6087,Tester,Unk,ADMIN_YES
CG401097,022014,3076974,00000244496005,ITA,LOADTEST6088,Team6088,Tester,Unk,ADMIN_YES
CG61962,022014,569796,00000537612023,FRA,LOADTEST6089,Team6089,Tester,Unk,ADMIN_YES
CG174319,022014,3049049,00006999832526,ITA,LOADTEST6090,Team6090,Tester,Unk,ADMIN_YES
CG239909,022014,574541,00008080834235,FRA,LOADTEST6091,Team6091,Tester,Unk,ADMIN_NO
CG79686,022014,3051512,00000334555143,ITA,LOADTEST6092,Team6092,Tester,Unk,ADMIN_YES
CG254252,022014,546019,00000458392677,ESP,LOADTEST6093,Team6093,Tester,Unk,ADMIN_YES
CG140156,022014,3053497,00004069385754,ITA,LOADTEST6094,Team6094,Tester,Unk,ADMIN_YES
CG400083,022014,812000841,00000307892069,HUN,LOADTEST6095,Team6095,Tester,Unk,ADMIN_NO
CG275927,022014,3060073,00010509922279,ITA,LOADTEST6096,Team6096,Tester,Unk,ADMIN_YES
CG346602,022014,625056,00000453571832,ESP,LOADTEST6097,Team6097,Tester,Unk,ADMIN_YES
CG207120,022014,516864,00000400019651,GBR,LOADTEST6098,Team6098,Tester,Unk,ADMIN_YES
CG293732,022014,3060999,00000396760530,ITA,LOADTEST6099,Team6099,Tester,Unk,ADMIN_YES
CG373659,022014,621102,00011728694560,CHL,LOADTEST6100,Team6100,Tester,Unk,ADMIN_NO
CG198101,022014,510425,00008571762355,ESP,LOADTEST6101,Team6101,Tester,Unk,ADMIN_YES
CG374458,022014,922000016029,00011802095434,USA,LOADTEST6102,Team6102,Tester,Unk,ADMIN_YES
CG350224,022014,653964,00000055313369,FRA,LOADTEST6103,Team6103,Tester,Unk,ADMIN_NO
CG293240,022014,567450,00000062385959,FRA,LOADTEST6104,Team6104,Tester,Unk,ADMIN_YES
CG179765,022014,493254,00000400063848,GBR,LOADTEST6105,Team6105,Tester,Unk,ADMIN_YES
CG387059,022014,651172,00000109970764,FRA,LOADTEST6106,Team6106,Tester,Unk,ADMIN_NO
CG339367,022014,610589,00008438633570,ESP,LOADTEST6107,Team6107,Tester,Unk,ADMIN_YES
CG353830,022014,629411,00001029282441,ESP,LOADTEST6108,Team6108,Tester,Unk,ADMIN_YES
CG390875,022014,922000018934,00015674683029,USA,LOADTEST6109,Team6109,Tester,Unk,ADMIN_YES
CG179581,022014,3060214,00000179899968,ITA,LOADTEST6110,Team6110,Tester,Unk,ADMIN_YES
CG389453,022014,656616,00008422121987,COL,LOADTEST6111,Team6111,Tester,Unk,ADMIN_YES
CG196835,022014,512046,00006779782650,FRA,LOADTEST6112,Team6112,Tester,Unk,ADMIN_YES
CG374565,022014,548900,00007502019270,FRA,LOADTEST6113,Team6113,Tester,Unk,ADMIN_NO
CG363659,022014,840604703,00011013388597,LTU,LOADTEST6114,Team6114,Tester,Unk,ADMIN_NO
CG281677,022014,576071,00000452290338,ESP,LOADTEST6115,Team6115,Tester,Unk,ADMIN_YES
CG243381,022014,001181300,00000132742330,AUT,LOADTEST6116,Team6116,Tester,Unk,ADMIN_NO
CG363401,022014,634400,00007678681486,FRA,LOADTEST6117,Team6117,Tester,Unk,ADMIN_YES
CG221432,022014,800001158004,00000435277743,DNK,LOADTEST6118,Team6118,Tester,Unk,ADMIN_YES
CG27184,022014,3058780,00000267361974,ITA,LOADTEST6119,Team6119,Tester,Unk,ADMIN_YES
CG267170,022014,3059137,00009480083012,ITA,LOADTEST6120,Team6120,Tester,Unk,ADMIN_YES
CG345476,022014,618763,00000050621123,FRA,LOADTEST6121,Team6121,Tester,Unk,ADMIN_NO
CG325225,022014,3065325,00004329442642,ITA,LOADTEST6122,Team6122,Tester,Unk,ADMIN_YES
CG78416,022014,3053692,00000535377451,ITA,LOADTEST6123,Team6123,Tester,Unk,ADMIN_YES
CG391268,022014,3072258,00000265614321,ITA,LOADTEST6124,Team6124,Tester,Unk,ADMIN_YES
CG382438,022014,922000018112,00015504740337,USA,LOADTEST6125,Team6125,Tester,Unk,ADMIN_YES
CG340894,022014,800008568009,00010883509537,DNK,LOADTEST6126,Team6126,Tester,Unk,ADMIN_YES
CG63171,022014,800002262004,00000248623648,NLD,LOADTEST6127,Team6127,Tester,Unk,ADMIN_YES
CG191730,022014,3050532,00000574220455,ITA,LOADTEST6128,Team6128,Tester,Unk,ADMIN_YES
CG390587,022014,642418,00000067981782,FRA,LOADTEST6129,Team6129,Tester,Unk,ADMIN_NO
CG382707,022014,650097,00003521475356,ESP,LOADTEST6130,Team6130,Tester,Unk,ADMIN_YES
CG259162,022014,557980,00004860340143,GBR,LOADTEST6131,Team6131,Tester,Unk,ADMIN_YES
CG257366,022014,3057300,00000236040345,ITA,LOADTEST6132,Team6132,Tester,Unk,ADMIN_YES
CG196761,022014,800000718000,00000409362170,SWE,LOADTEST6133,Team6133,Tester,Unk,ADMIN_YES
CG374678,022014,644837,00005142580455,GBR,LOADTEST6134,Team6134,Tester,Unk,ADMIN_NO
CG290111,022014,3060029,00000335648941,ITA,LOADTEST6135,Team6135,Tester,Unk,ADMIN_YES
CG249461,022014,3055564,00003838814350,ITA,LOADTEST6136,Team6136,Tester,Unk,ADMIN_YES
CG377930,022014,648672,00008838692823,ESP,LOADTEST6137,Team6137,Tester,Unk,ADMIN_YES
CG85831,022014,559551,00000443983732,ESP,LOADTEST6138,Team6138,Tester,Unk,ADMIN_YES
CG227233,022014,582399,00000436824466,GBR,LOADTEST6139,Team6139,Tester,Unk,ADMIN_NO
CG181926,022014,3049987,00000199899988,ITA,LOADTEST6140,Team6140,Tester,Unk,ADMIN_YES
CG286641,022014,578332,00006655746762,FRA,LOADTEST6141,Team6141,Tester,Unk,ADMIN_YES
CG252149,022014,800001662005,00005789251435,NLD,LOADTEST6142,Team6142,Tester,Unk,ADMIN_YES
CG318406,022014,3064633,00000187922050,ITA,LOADTEST6143,Team6143,Tester,Unk,ADMIN_YES
CG213760,022014,800002181004,00000191543935,NLD,LOADTEST6144,Team6144,Tester,Unk,ADMIN_YES
CG184837,022014,494396,00001681941253,FRA,LOADTEST6145,Team6145,Tester,Unk,ADMIN_YES
CG200775,022014,554236,00001253142958,FRA,LOADTEST6146,Team6146,Tester,Unk,ADMIN_YES
CG200406,022014,509180,00003528992537,ESP,LOADTEST6147,Team6147,Tester,Unk,ADMIN_YES
CG147998,022014,562792,00000510812268,FRA,LOADTEST6148,Team6148,Tester,Unk,ADMIN_YES
CG240654,022014,001118800,00004232417540,AUT,LOADTEST6149,Team6149,Tester,Unk,ADMIN_YES
CG383943,022014,3073892,00000343401147,ITA,LOADTEST6150,Team6150,Tester,Unk,ADMIN_YES
CG339115,022014,614506,00000100531014,FRA,LOADTEST6151,Team6151,Tester,Unk,ADMIN_NO
CG392695,022014,3076071,00000269817072,ITA,LOADTEST6152,Team6152,Tester,Unk,ADMIN_YES
CG137179,022014,493578,00000065841968,FRA,LOADTEST6153,Team6153,Tester,Unk,ADMIN_YES
CG337871,022014,620180,00000152550311,FRA,LOADTEST6154,Team6154,Tester,Unk,ADMIN_NO
CG256792,022014,3056933,00000256963488,ITA,LOADTEST6155,Team6155,Tester,Unk,ADMIN_YES
CG372582,022014,991000147,00000442328159,SVN,LOADTEST6156,Team6156,Tester,Unk,ADMIN_NO
CG382071,022014,800012192001,00008337914960,DNK,LOADTEST6157,Team6157,Tester,Unk,ADMIN_YES
CG362157,022014,636624,00015096354880,FRA,LOADTEST6158,Team6158,Tester,Unk,ADMIN_NO
CG310761,022014,536363,00000079706059,FRA,LOADTEST6159,Team6159,Tester,Unk,ADMIN_NO
CG323132,022014,3065118,00000251516721,ITA,LOADTEST6160,Team6160,Tester,Unk,ADMIN_YES
CG374747,022014,645380,00005581998015,ESP,LOADTEST6161,Team6161,Tester,Unk,ADMIN_YES
CG378469,022014,3073152,00000391814974,ITA,LOADTEST6162,Team6162,Tester,Unk,ADMIN_YES
CG382170,022014,3072295,00000347330942,ITA,LOADTEST6163,Team6163,Tester,Unk,ADMIN_YES
CG388563,022014,636439,00002287289633,FRA,LOADTEST6164,Team6164,Tester,Unk,ADMIN_NO
CG390378,022014,657667,00007821045053,ESP,LOADTEST6165,Team6165,Tester,Unk,ADMIN_YES
CG392284,022014,610394,00000124073416,FRA,LOADTEST6166,Team6166,Tester,Unk,ADMIN_YES
CG178319,022014,486417,00000465494513,ESP,LOADTEST6167,Team6167,Tester,Unk,ADMIN_YES
CG358269,022014,634441,00006901964460,VNM,LOADTEST6168,Team6168,Tester,Unk,ADMIN_NO
CG377202,022014,922000015609,00015346938881,USA,LOADTEST6169,Team6169,Tester,Unk,ADMIN_YES
CG153697,022014,3059193,00000395016110,ITA,LOADTEST6170,Team6170,Tester,Unk,ADMIN_YES
CG377925,022014,3072505,00000325874459,ITA,LOADTEST6171,Team6171,Tester,Unk,ADMIN_YES
CG393215,022014,655227,00010924046452,FRA,LOADTEST6172,Team6172,Tester,Unk,ADMIN_YES
CG209191,022014,564444,00000350705629,JPN,LOADTEST6173,Team6173,Tester,Unk,ADMIN_YES
CG170000,022014,482204,00000097657032,FRA,LOADTEST6174,Team6174,Tester,Unk,ADMIN_YES
CG220107,022014,800001157001,00000423636151,DNK,LOADTEST6175,Team6175,Tester,Unk,ADMIN_YES
CG83499,022014,604137,00006525145660,GBR,LOADTEST6176,Team6176,Tester,Unk,ADMIN_NO
CG387632,022014,800012768007,00015562897380,NOR,LOADTEST6177,Team6177,Tester,Unk,ADMIN_NO
CG402005,022014,652618,00010925620855,FRA,LOADTEST6178,Team6178,Tester,Unk,ADMIN_NO
CG56644,022014,561798,00000103447068,FRA,LOADTEST6179,Team6179,Tester,Unk,ADMIN_YES
CG195916,022014,507192,00003444588571,ESP,LOADTEST6180,Team6180,Tester,Unk,ADMIN_YES
CG206567,022014,618307,00003249406233,JPN,LOADTEST6181,Team6181,Tester,Unk,ADMIN_YES
CG354060,022014,630048,00000087081156,FRA,LOADTEST6182,Team6182,Tester,Unk,ADMIN_NO
CG325479,022014,535215,00000094435643,FRA,LOADTEST6183,Team6183,Tester,Unk,ADMIN_NO
CG378979,022014,922000017207,00008812476764,USA,LOADTEST6184,Team6184,Tester,Unk,ADMIN_YES
CG353036,022014,631188,00001062418346,ESP,LOADTEST6185,Team6185,Tester,Unk,ADMIN_YES
CG247016,022014,800001537002,00007031640873,DEU,LOADTEST6186,Team6186,Tester,Unk,ADMIN_NO
CG396904,022014,657806,00000451015208,ESP,LOADTEST6187,Team6187,Tester,Unk,ADMIN_YES
CG377063,022014,922000016267,00000564384249,USA,LOADTEST6188,Team6188,Tester,Unk,ADMIN_YES
CG245354,022014,547005,00001067637060,ESP,LOADTEST6189,Team6189,Tester,Unk,ADMIN_YES
CG191267,022014,3060075,00000155285842,ITA,LOADTEST6190,Team6190,Tester,Unk,ADMIN_YES
CG376939,022014,3071628,00003964116630,ITA,LOADTEST6191,Team6191,Tester,Unk,ADMIN_YES
CG203108,022014,800000852026,00000390516307,NOR,LOADTEST6192,Team6192,Tester,Unk,ADMIN_NO
CG12492,022014,3054228,00000356566833,ITA,LOADTEST6193,Team6193,Tester,Unk,ADMIN_YES
CG398660,022014,659975,00000142287344,FRA,LOADTEST6194,Team6194,Tester,Unk,ADMIN_NO
CG382411,022014,800012360001,00007767707690,SWE,LOADTEST6195,Team6195,Tester,Unk,ADMIN_YES
CG157686,022014,800006980000,00005230047410,NLD,LOADTEST6196,Team6196,Tester,Unk,ADMIN_NO
CG324215,022014,223415,00000073647663,FRA,LOADTEST6197,Team6197,Tester,Unk,ADMIN_NO
CG110124,022014,538278,00000891181835,ESP,LOADTEST6198,Team6198,Tester,Unk,ADMIN_YES
CG217165,022014,513246,00007713219859,FRA,LOADTEST6199,Team6199,Tester,Unk,ADMIN_NO
CG349615,022014,625085,00004557567331,FRA,LOADTEST6200,Team6200,Tester,Unk,ADMIN_NO
CG314664,022014,599648,00000126135848,FRA,LOADTEST6201,Team6201,Tester,Unk,ADMIN_YES
CG248276,022014,800001423008,00000172810862,DEU,LOADTEST6202,Team6202,Tester,Unk,ADMIN_NO
CG401719,022014,621085,00000126072610,FRA,LOADTEST6203,Team6203,Tester,Unk,ADMIN_NO
CG405562,022014,660100,00000135665557,FRA,LOADTEST6204,Team6204,Tester,Unk,ADMIN_YES
CG269256,022014,566889,00010979004029,FRA,LOADTEST6205,Team6205,Tester,Unk,ADMIN_YES
CG234525,022014,537634,00001484221484,FRA,LOADTEST6206,Team6206,Tester,Unk,ADMIN_YES
CG46781,022014,271747,00005243609045,FRA,LOADTEST6207,Team6207,Tester,Unk,ADMIN_YES
CG348845,022014,3068798,00000198294169,ITA,LOADTEST6208,Team6208,Tester,Unk,ADMIN_YES
CG399325,022014,510594,00004112201740,ISR,LOADTEST6209,Team6209,Tester,Unk,ADMIN_NO
CG162473,022014,595848,00007067152577,GBR,LOADTEST6210,Team6210,Tester,Unk,ADMIN_YES
CG301310,022014,3061582,00000204616229,ITA,LOADTEST6211,Team6211,Tester,Unk,ADMIN_YES
CG151274,022014,3059420,00000187520040,ITA,LOADTEST6212,Team6212,Tester,Unk,ADMIN_YES
CG398077,022014,664694,00002265543374,ESP,LOADTEST6213,Team6213,Tester,Unk,ADMIN_YES
CG3132,022014,201348,00000115066941,FRA,LOADTEST6214,Team6214,Tester,Unk,ADMIN_NO
CG332865,022014,800007948007,00007137774479,NLD,LOADTEST6215,Team6215,Tester,Unk,ADMIN_YES
CG391317,022014,654383,00011893051128,ESP,LOADTEST6216,Team6216,Tester,Unk,ADMIN_YES
CG102106,022014,569501,00001062059118,ROU,LOADTEST6217,Team6217,Tester,Unk,ADMIN_YES
CG377193,022014,609333,00000103053746,FRA,LOADTEST6218,Team6218,Tester,Unk,ADMIN_NO
CG366331,022014,3070476,00000336994937,ITA,LOADTEST6219,Team6219,Tester,Unk,ADMIN_YES
CG166956,022014,3054143,00000374035030,ITA,LOADTEST6220,Team6220,Tester,Unk,ADMIN_YES
CG127867,022014,3057201,00002353944464,ITA,LOADTEST6221,Team6221,Tester,Unk,ADMIN_YES
CG390098,022014,5000491,00000370302275,GRC,LOADTEST6222,Team6222,Tester,Unk,ADMIN_NO
CG196424,022014,5000235,00000430756978,CYP,LOADTEST6223,Team6223,Tester,Unk,ADMIN_YES
CG198629,022014,3050782,00004496046357,ITA,LOADTEST6224,Team6224,Tester,Unk,ADMIN_YES
CG292451,022014,584323,00000290998122,BEL,LOADTEST6225,Team6225,Tester,Unk,ADMIN_YES
CG404156,022014,597601,00000497569047,FRA,LOADTEST6226,Team6226,Tester,Unk,ADMIN_NO
CG374696,022014,647460,00000466042145,ESP,LOADTEST6227,Team6227,Tester,Unk,ADMIN_YES
CG404268,022014,922000019691,00011792088957,USA,LOADTEST6228,Team6228,Tester,Unk,ADMIN_NO
CG174750,022014,489164,00003433317119,ESP,LOADTEST6229,Team6229,Tester,Unk,ADMIN_YES
CG383353,022014,651167,00003656695011,ESP,LOADTEST6230,Team6230,Tester,Unk,ADMIN_YES
CG305770,022014,592214,00010906119067,PRT,LOADTEST6231,Team6231,Tester,Unk,ADMIN_YES
CG228417,022014,528343,00004848324674,GBR,LOADTEST6232,Team6232,Tester,Unk,ADMIN_YES
CG356070,022014,3069074,00004118410151,ITA,LOADTEST6233,Team6233,Tester,Unk,ADMIN_YES
CG182493,022014,800000442007,00007060825921,DNK,LOADTEST6234,Team6234,Tester,Unk,ADMIN_NO
CG401605,022014,653496,00015558588658,GBR,LOADTEST6235,Team6235,Tester,Unk,ADMIN_NO
CG402448,022014,3076960,00000495627738,ITA,LOADTEST6236,Team6236,Tester,Unk,ADMIN_YES
CG161688,022014,521474,00005810890966,ESP,LOADTEST6237,Team6237,Tester,Unk,ADMIN_YES
CG361462,022014,622733,00006619915228,ESP,LOADTEST6238,Team6238,Tester,Unk,ADMIN_YES
CG234063,022014,421233,00005252356049,URY,LOADTEST6239,Team6239,Tester,Unk,ADMIN_NO
CG213292,022014,3052936,00000203167041,ITA,LOADTEST6240,Team6240,Tester,Unk,ADMIN_YES
CG364290,022014,639788,00000438228751,ESP,LOADTEST6241,Team6241,Tester,Unk,ADMIN_YES
CG171878,022014,3057886,00008038070479,ITA,LOADTEST6242,Team6242,Tester,Unk,ADMIN_YES
CG323130,022014,3064900,00000183072415,ITA,LOADTEST6243,Team6243,Tester,Unk,ADMIN_YES
CG382167,022014,3072271,00000225557911,ITA,LOADTEST6244,Team6244,Tester,Unk,ADMIN_YES
CG392946,022014,659859,00001328132832,PRT,LOADTEST6245,Team6245,Tester,Unk,ADMIN_YES
CG360103,022014,991000099,00002419013832,SVN,LOADTEST6246,Team6246,Tester,Unk,ADMIN_YES
CG105613,022014,3057884,00000257341053,ITA,LOADTEST6247,Team6247,Tester,Unk,ADMIN_YES
CG381565,022014,609857,00000123908751,FRA,LOADTEST6248,Team6248,Tester,Unk,ADMIN_NO
CG184058,022014,417799,00000119416374,FRA,LOADTEST6249,Team6249,Tester,Unk,ADMIN_NO
CG372804,022014,571793,00014082992446,GBR,LOADTEST6250,Team6250,Tester,Unk,ADMIN_NO
CG400162,022014,800013955001,00004150305930,ITA,LOADTEST6251,Team6251,Tester,Unk,ADMIN_YES
CG9905,022014,562925,00000504561126,BEL,LOADTEST6252,Team6252,Tester,Unk,ADMIN_YES
CG81915,022014,566290,00000100039549,FRA,LOADTEST6253,Team6253,Tester,Unk,ADMIN_YES
CG292612,022014,569635,00000560027037,FRA,LOADTEST6254,Team6254,Tester,Unk,ADMIN_NO
CG391968,022014,657084,00000443022928,ESP,LOADTEST6255,Team6255,Tester,Unk,ADMIN_YES
CG386503,022014,3074492,00000251484243,ITA,LOADTEST6256,Team6256,Tester,Unk,ADMIN_YES
CG317751,022014,596438,00000477087817,MAR,LOADTEST6257,Team6257,Tester,Unk,ADMIN_NO
CG379290,022014,651045,00000449074454,ESP,LOADTEST6258,Team6258,Tester,Unk,ADMIN_YES
CG388299,022014,513677,00000120182867,FRA,LOADTEST6259,Team6259,Tester,Unk,ADMIN_NO
CG118797,022014,800004704008,00000262183365,DEU,LOADTEST6260,Team6260,Tester,Unk,ADMIN_YES
CG253294,022014,542657,00002011797282,FRA,LOADTEST6261,Team6261,Tester,Unk,ADMIN_YES
CG362735,022014,632718,00008832454055,BEL,LOADTEST6262,Team6262,Tester,Unk,ADMIN_NO
